,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
510,510,Shaun of the Dead,2004,99,"Comedy, Horror",7.9,76.0,A man's uneventful life is disrupted by the zombie apocalypse.,"519,972",$13.54M
511,511,Kal Ho Naa Ho,2003,186,"Comedy, Drama, Musical",7.9,54.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","64,570",$1.79M
513,513,Mystic River,2003,138,"Crime, Drama, Mystery",7.9,84.0,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"425,816",$90.14M
514,514,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure, Family, Fantasy",7.9,82.0,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","564,276",$249.36M
515,515,Hero,2002,120,"Action, Adventure, History",7.9,85.0,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","175,323",$53.71M
516,516,Talk to Her,2002,112,"Drama, Mystery, Romance",7.9,86.0,Two men share an odd friendship while they care for two women who are both in deep comas.,"105,819",$9.28M
517,517,No Man's Land,I 2001,98,"Comedy, Drama, War",7.9,84.0,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.","45,249",$1.06M
518,518,Cowboy Bebop: The Movie,2001,115,"Animation, Action, Crime",7.9,61.0,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.","43,746",$1.00M
519,519,The Bourne Identity,2002,119,"Action, Mystery, Thriller",7.9,68.0,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","515,433",$121.66M
520,520,Nine Queens,2000,114,"Crime, Drama, Thriller",7.9,80.0,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").","50,434",$1.22M
521,521,Children of Men,2006,109,"Adventure, Drama, Sci-Fi",7.9,84.0,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","471,183",$35.55M
522,522,All About My Mother,1999,101,Drama,7.9,87.0,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.","90,826",$8.26M
523,523,Almost Famous,2000,122,"Adventure, Comedy, Drama",7.9,90.0,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"257,431",$32.53M
